date,DIA,IVV,QQQ,SPY,VTI
2022-09-15,296.3838195800781,377.1058349609375,286.1939392089844,376.1332092285156,189.06724548339844
2022-09-16,294.9599304199219,374.2492370605469,284.4439392089844,373.2637634277344,187.34423828125
2022-09-19,296.9707336425781,377.1635437011719,286.6589660644531,376.1583557128906,188.67259216308597
2022-09-20,293.9736633300781,372.7294616699219,284.3740234375,371.8406066894531,186.47792053222656
2022-09-21,288.9850769042969,366.3717956542969,279.2820129394531,365.3543090820313,183.29183959960935
2022-09-22,287.74981689453125,363.2747192382813,275.8446350097656,362.285400390625,181.24156188964844
2022-09-23,283.2878723144531,357.2439880371094,271.3534851074219,356.21539306640625,178.11541748046875
2022-09-26,280.28143310546875,353.7209777832031,270.2305908203125,352.6914978027344,176.16278076171875
2022-09-27,278.9217224121094,352.81219482421875,270.3390197753906,351.7911376953125,175.90182495117188
2022-09-28,284.1210327148437,359.6667785644531,275.716552734375,358.7130432128906,179.60406494140625
2022-09-29,279.7930908203125,352.2708435058594,267.7683410644531,351.2199401855469,175.87277221679688
2022-09-30,275.0916442871094,346.74072265625,263.2279052734375,345.788818359375,173.4851531982422
2022-10-03,282.26348876953125,355.9156188964844,269.4032592773437,354.9180908203125,177.89306640625
2022-10-04,290.25860595703125,366.8114318847656,277.87359619140625,365.9158020019531,183.60601806640625
2022-10-05,289.9234313964844,365.950927734375,277.725830078125,365.0638427734375,183.25802612304688
2022-10-06,286.51470947265625,362.3350830078125,275.5392761230469,361.2979431152344,181.5083770751953
2022-10-07,280.5207214355469,352.23211669921875,265.0401916503906,351.2199401855469,176.31744384765625
2022-10-10,279.5537109375,349.6120910644531,262.3907470703125,348.53826904296875,174.91580200195312
2022-10-11,279.86962890625,347.2144470214844,258.78594970703125,346.3309631347656,173.7944793701172
2022-10-12,279.74517822265625,346.093017578125,258.69732666015625,345.1885986328125,173.32083129882812
2022-10-13,287.7882080078125,355.3065185546875,264.7643737792969,354.2984924316406,177.6224365234375
2022-10-14,284.2071228027344,347.1661376953125,256.8063049316406,346.2244567871094,173.4368133544922
2022-10-17,289.2244567871094,356.0992431640625,265.286376953125,355.12139892578125,178.0670928955078
2022-10-18,292.48956298828125,360.1791687011719,267.3842163085937,359.29400634765625,180.2420654296875
2022-10-19,291.4170837402344,357.8105163574219,266.4092102050781,356.7478332519531,178.70509338378906
